Year,HE provider,Enrolement,Type,Region,Number,
2006/07,Cardiff University,enrolled,Full-time,,20095 ,
2006/07,"University of Wales Institute, Cardiff",enrolled,Full-time,,7830 ,
2007/08,Cardiff University,enrolled,Full-time,,19480 ,
2007/08,"University of Wales Institute, Cardiff",enrolled,Full-time,,7870 ,
2008/09,Cardiff University,enrolled,Full-time,,20050 ,
2008/09,"University of Wales Institute, Cardiff",enrolled,Full-time,,8435 ,
2009/10,Cardiff University,enrolled,Full-time,,20885 ,
2009/10,"University of Wales Institute, Cardiff",enrolled,Full-time,,8875 ,
2006/07,Cardiff University,enrolled,Part-time,,9550 ,
2006/07,"University of Wales Institute, Cardiff",enrolled,Part-time,,2935 ,
2007/08,Cardiff University,enrolled,Part-time,,7105 ,
2007/08,"University of Wales Institute, Cardiff",enrolled,Part-time,,2030 ,
2008/09,Cardiff University,enrolled,Part-time,,7890 ,
2008/09,"University of Wales Institute, Cardiff",enrolled,Part-time,,2610 ,
2009/10,Cardiff University,enrolled,Part-time,,6670 ,
2009/10,"University of Wales Institute, Cardiff",enrolled,Part-time,,4205 ,
2010/11,Cardiff University,enrolled,Full-time,,21170,
2010/11,Cardiff Metropolitan University,enrolled,Full-time,,9340,
2010/11,Cardiff University,enrolled,Part-time,,7670,
2010/11,Cardiff Metropolitan University,enrolled,Part-time,,4140,
2011/12,Cardiff University,enrolled,Full-time,,20065,
2011/12,Cardiff Metropolitan University,enrolled,Full-time,,9850,
2011/12,Cardiff University,enrolled,Part-time,,7680,
2011/12,Cardiff Metropolitan University,enrolled,Part-time,,3155,
2012/13,Cardiff University,enrolled,Part-time,,7115,
2012/13,Cardiff Metropolitan University,enrolled,Part-time,,2010,
2012/13,Cardiff University,enrolled,Full-time,,21425,
2012/13,Cardiff Metropolitan University,enrolled,Full-time,,10430,
2013/14,Cardiff Metropolitan University,enrolled,Full-time,UK,7465,
2013/14,Cardiff Metropolitan University,enrolled,Full-time,Other EU,285,
2013/14,Cardiff Metropolitan University,enrolled,Full-time,Non-EU,4050,
2013/14,Cardiff Metropolitan University,enrolled,Part-time,UK,1435,
2013/14,Cardiff Metropolitan University,enrolled,Part-time,Other EU,35,
2013/14,Cardiff Metropolitan University,enrolled,Part-time,Non-EU,115,
2013/14,Cardiff University,enrolled,Full-time,UK,16900,
2013/14,Cardiff University,enrolled,Full-time,Other EU,920,
2013/14,Cardiff University,enrolled,Full-time,Non-EU,4185,
2013/14,Cardiff University,enrolled,Part-time,UK,6675,
2013/14,Cardiff University,enrolled,Part-time,Other EU,235,
2013/14,Cardiff University,enrolled,Part-time,Non-EU,1265,
2014/15,Cardiff Metropolitan University,enrolled,Full-time,UK,7510,
2014/15,Cardiff Metropolitan University,enrolled,Full-time,Other EU,330,
2014/15,Cardiff Metropolitan University,enrolled,Full-time,Non-EU,4165,
2014/15,Cardiff Metropolitan University,enrolled,Part-time,UK,1435,
2014/15,Cardiff Metropolitan University,enrolled,Part-time,Other EU,50,
2014/15,Cardiff Metropolitan University,enrolled,Part-time,Non-EU,175,
2014/15,Cardiff University,enrolled,Full-time,UK,17170,
2014/15,Cardiff University,enrolled,Full-time,Other EU,1075,
2014/15,Cardiff University,enrolled,Full-time,Non-EU,4140,
2014/15,Cardiff University,enrolled,Part-time,UK,6325,
2014/15,Cardiff University,enrolled,Part-time,Other EU,240,
2014/15,Cardiff University,enrolled,Part-time,Non-EU,1535,
2015/16,Cardiff Metropolitan University,enrolled,Full-time,UK,7750,
2015/16,Cardiff Metropolitan University,enrolled,Full-time,Other EU,340,
2015/16,Cardiff Metropolitan University,enrolled,Full-time,Non-EU,2830,
2015/16,Cardiff Metropolitan University,enrolled,Part-time,UK,1545,
2015/16,Cardiff Metropolitan University,enrolled,Part-time,Other EU,35,
2015/16,Cardiff Metropolitan University,enrolled,Part-time,Non-EU,80,
2015/16,Cardiff University,enrolled,Full-time,UK,17750,
2015/16,Cardiff University,enrolled,Full-time,Other EU,1165,
2015/16,Cardiff University,enrolled,Full-time,Non-EU,4440,
2015/16,Cardiff University,enrolled,Part-time,UK,5810,
2015/16,Cardiff University,enrolled,Part-time,Other EU,175,
2015/16,Cardiff University,enrolled,Part-time,Non-EU,1330,
2016/17,Cardiff Metropolitan University,enrolled,Full-time,UK,7650,
2016/17,Cardiff Metropolitan University,enrolled,Full-time,Other EU,290,
2016/17,Cardiff Metropolitan University,enrolled,Full-time,Non-EU,1385,
2016/17,Cardiff Metropolitan University,enrolled,Part-time,UK,1565,
2016/17,Cardiff Metropolitan University,enrolled,Part-time,Other EU,45,
2016/17,Cardiff Metropolitan University,enrolled,Part-time,Non-EU,60,
2016/17,Cardiff University,enrolled,Full-time,UK,18630,
2016/17,Cardiff University,enrolled,Full-time,Other EU,1305,
2016/17,Cardiff University,enrolled,Full-time,Non-EU,4715,
2016/17,Cardiff University,enrolled,Part-time,UK,5445,
2016/17,Cardiff University,enrolled,Part-time,Other EU,150,
2016/17,Cardiff University,enrolled,Part-time,Non-EU,1350,
