Year,Type,Status,Beds
2000*,Bed space,Cardiff University,4661
2000*,Bed space,Cardiff Metropolitan University,0
2000*,Bed space,Private,0
2001,Bed space,Cardiff University,4661
2001,Bed space,Cardiff Metropolitan University,0
2001,Bed space,Private,288
2002,Bed space,Cardiff University,4661
2002,Bed space,Cardiff Metropolitan University,0
2002,Bed space,Private,288
2003,Bed space,Cardiff University,4661
2003,Bed space,Cardiff Metropolitan University,0
2003,Bed space,Private,334
2004,Bed space,Cardiff University,4661
2004,Bed space,Cardiff Metropolitan University,0
2004,Bed space,Private,334
2005,Bed space,Cardiff University,5172
2005,Bed space,Cardiff Metropolitan University,0
2005,Bed space,Private,1477
2006,Bed space,Cardiff University,5172
2006,Bed space,Cardiff Metropolitan University,0
2006,Bed space,Private,1477
2007,Bed space,Cardiff University,5172
2007,Bed space,Cardiff Metropolitan University,0
2007,Bed space,Private,1477
2008,Bed space,Cardiff University,5172
2008,Bed space,Cardiff Metropolitan University,0
2008,Bed space,Private,1477
2009,Bed space,Cardiff University,5172
2009,Bed space,Cardiff Metropolitan University,0
2009,Bed space,Private,2040
2010,Bed space,Cardiff University,5172
2010,Bed space,Cardiff Metropolitan University,0
2010,Bed space,Private,2762
2011,Bed space,Cardiff University,5172
2011,Bed space,Cardiff Metropolitan University,571
2011,Bed space,Private,6784
2012,Bed space,Cardiff University,5172
2012,Bed space,Cardiff Metropolitan University,571
2012,Bed space,Private,6977
2013,Bed space,Cardiff University,5172
2013,Bed space,Cardiff Metropolitan University,571
2013,Bed space,Private,6977
2014,Bed space,Cardiff University,5351
2014,Bed space,Cardiff Metropolitan University,571
2014,Bed space,Private,7294
2015,Bed space,Cardiff University,5351
2015,Bed space,Cardiff Metropolitan University,571
2015,Bed space,Private,7861
2016,Bed space,Cardiff University,5351
2016,Bed space,Cardiff Metropolitan University,571
2016,Bed space,Private,8923
2017,Bed space,Cardiff University,5351
2017,Bed space,Cardiff Metropolitan University,571
2017,Bed space,Private,11726
2018,Bed space,Cardiff University,5351
2018,Bed space,Cardiff Metropolitan University,571
2018,Bed space,Private,12601
2019*,Bed space,Cardiff University,5351
2019*,Bed space,Cardiff Metropolitan University,571
2019*,Bed space,Private,14827
