Block,Owner,Type,Status,Postcode,Place,Operational,Count
Aberconway Hall,Cardiff University,PBSA,Cardiff University,CF10 3EJ,72,2000*,1
Aberdare Hall,Cardiff University,PBSA,Cardiff University,CF10 3UP,132,2000*,1
Cartwright Court,Cardiff University,PBSA,Cardiff University,CF24 4SS,172,2000*,1
Colum Hall,Cardiff University,PBSA,Cardiff University,CF10 3EF,112,2000*,1
Gordon Hall,Cardiff University,PBSA,Cardiff University,CF24 3UW,91,2000*,1
Hodge Hall,Cardiff University,PBSA,Cardiff University,CF24 4BJ,60,2000*,1
Roy Jenkins Hall,Cardiff University,PBSA,Cardiff University,CF24 4NE,42,2000*,1
Senghennydd Court,Cardiff University,PBSA,Cardiff University,CF24 4DS,610,2000*,1
Senghennydd Hall,Cardiff University,PBSA,Cardiff University,CF24 4AG,103,2000*,1
Student Houses (Colum Road/Place),Cardiff University,HMO,Cardiff University,CF10 3EH,146,2000*,1
Student Houses (Village),Cardiff University,HMO,Cardiff University,CF24 3AE,224,2000*,1
Talybont Court,Cardiff University,PBSA,Cardiff University,CF14 3UA,511,2005,1
Talybont Gate,Cardiff University,PBSA,Cardiff University,CF14 3UY,179,2014,1
Talybont North,Cardiff University,PBSA,Cardiff University,CF14 3UX,972,2000*,1
Talybont South,Cardiff University,PBSA,Cardiff University,CF14 3UU,1252,2000*,1
University Hal,Cardiff University,PBSA,Cardiff University,CF23 5YB,673,2000*,1
Cyncoed Campus,Cardiff Metropolitan University,PBSA,Cardiff Metropolitan University,CF23 6XD,563,2009,1
Plas Gwyn Campus,Cardiff Metropolitan University,PBSA,Cardiff Metropolitan University,CF5 2XJ,8,2010,1
Mountain Halls,University of South Wales,PBSA,University of South Wales,CF37 1DL,476,2011,1
Glamorgan Court ,University of South Wales,PBSA,University of South Wales,‎CF37 1DL,730,2000*,1
Corner House,CPS Homes,PBSA,Private,CF10 1FF,112,2010,1
Alwyn Court,Hello Student,PBSA,Private,CF24 4AD,51,2014,1
Eclipse,Gollegiate AC,PBSA,Private,CF24 0SP,685,2017,1
Northgate House Apartments,Hello Student,PBSA,Private,CF10 3FD,314,2015,1
Summit House,Hello Student,PBSA,Private,CF10 3BX,87,2014,1
Windsor House,Hello Student,PBSA,Private,CF10 3DE,322,2016,1
Lumis Student Living,CRM,PBSA,Private,CF10 4BQ,602,2017,1
Glendower House,CRM,PBSA,Private,CF10 3DJ,90,2016,1
"Livin,City Road",CRM,PBSA,Private,CF24 3BJ,140,2017,1
Crown Place,CRM,PBSA,Private,CF10 3BE,378,2017,1
The Fitalan,CRM,PBSA,Private,CF24 0BA,355,2017,1
118 Newport Road,Gwalia,HMO,Private,CF24 1DH,46,2003,1
Shand House,Host Student,PBSA,Private,CF24 0DB,193,2012,1
Liberty Bridge,Liberty Living,PBSA,Private,CF10 4FS,643,2017,1
Liberty Cambrian Point,Liberty Living,PBSA,Private,CF24 4HJ,632,2005,1
Liberty Court,Liberty Living,PBSA,Private,CF14 3BA,253,2015,1
Liberty Gardens,Liberty Living,PBSA,Private,CF24 2FL,540,2011,1
Liberty House,Liberty Living,PBSA,Private,CF14 3NS,380,2010,1
Liberty Park,Liberty Living,PBSA,Private,CF11 6YY,334,2010,1
Liberty Seven Point,Liberty Living,PBSA,Private,CF10 3EX,288,2001,1
Liberty Fields (Victoria Hall),Liberty Living,PBSA,Private,CF10 3EY,410,2016,1
The Neighbourhood Cardiff,The Neighbourhood,PBSA,Private,CF24 3AD,240,2016,1
Arofan House,Student Housing,PBSA,Private,CF24 3DS,281,2018,1
Bridge Street Exchange,Watkin Jones,PBSA,Private,CF10 2BY,463,2018,1
Crwys House,John Pinn,PBSA,Private,CF24 4YF,116,2018,1
Park Place,Private Individuals,PBSA,Private,CF10 3BA,15,2018,1
Central Square,Rightacres / L&G,not known,Private,not known,430,2019*,1
8-10 High Street,Private Individuals,not known,Private,not known,33,2019*,1
56 - 64 City Road,Private Individuals,not known,Private,not known,130,2019*,1
"Custom House, Custom House Street",Private Individuals,not known,Private,not known,170,2019*,1
34 – 44 Churchill Way,Private Individuals,not known,Private,not known,100,2019*,1
Mynachdy Road,Being marketed,not known,Private,not known,249,2019*,1
"E18, Custom House Street",Watkin Jones,not known,Private,not known,447,2019*,1
"The West Wing, Glossop Rd",Mace Real Estate,not known,Private,not known,647,2019*,1
199 – 203 City Road,Private Individuals,not known,Private,not known,20,2019*,1
