HE provider,Level of study,Mode of study,Sex/Domicile marker,Sex/Domicile,Student count
Cardiff University,First degree,Full-time,Domicile,UK,16390 
Cardiff University,First degree,Full-time,Domicile,Non-European Union,1845 
Cardiff University,First degree,Full-time,Domicile,Other European Union,910 
Cardiff University,Other undergraduate,Full-time,Domicile,UK,125 
Cardiff University,Other undergraduate,Full-time,Domicile,Non-European Union,130 
Cardiff University,Other undergraduate,Full-time,Domicile,Other European Union,15 
Cardiff University,Postgraduate (research),Full-time,Domicile,UK,935 
Cardiff University,Postgraduate (research),Full-time,Domicile,Non-European Union,390 
Cardiff University,Postgraduate (research),Full-time,Domicile,Other European Union,195 
Cardiff University,Postgraduate (taught),Full-time,Domicile,UK,1185 
Cardiff University,Postgraduate (taught),Full-time,Domicile,Non-European Union,2355 
Cardiff University,Postgraduate (taught),Full-time,Domicile,Other European Union,180 
Cardiff Metropolitan University,First degree,Full-time,Domicile,UK,6775 
Cardiff Metropolitan University,First degree,Full-time,Domicile,Non-European Union,940 
Cardiff Metropolitan University,First degree,Full-time,Domicile,Other European Union,235 
Cardiff Metropolitan University,Other undergraduate,Full-time,Domicile,UK,135 
Cardiff Metropolitan University,Other undergraduate,Full-time,Domicile,Non-European Union,0 
Cardiff Metropolitan University,Other undergraduate,Full-time,Domicile,Other European Union,0 
Cardiff Metropolitan University,Postgraduate (research),Full-time,Domicile,UK,20 
Cardiff Metropolitan University,Postgraduate (research),Full-time,Domicile,Non-European Union,50 
Cardiff Metropolitan University,Postgraduate (research),Full-time,Domicile,Other European Union,5 
Cardiff Metropolitan University,Postgraduate (taught),Full-time,Domicile,UK,715 
Cardiff Metropolitan University,Postgraduate (taught),Full-time,Domicile,Non-European Union,395 
Cardiff Metropolitan University,Postgraduate (taught),Full-time,Domicile,Other European Union,55 
University of South Wales,First degree,Full-time,Domicile,UK,10275 
University of South Wales,First degree,Full-time,Domicile,Non-European Union,865 
University of South Wales,First degree,Full-time,Domicile,Other European Union,1020 
University of South Wales,Other undergraduate,Full-time,Domicile,UK,2465 
University of South Wales,Other undergraduate,Full-time,Domicile,Non-European Union,5 
University of South Wales,Other undergraduate,Full-time,Domicile,Other European Union,30 
University of South Wales,Postgraduate (research),Full-time,Domicile,UK,80 
University of South Wales,Postgraduate (research),Full-time,Domicile,Non-European Union,25 
University of South Wales,Postgraduate (research),Full-time,Domicile,Other European Union,15 
University of South Wales,Postgraduate (taught),Full-time,Domicile,UK,630 
University of South Wales,Postgraduate (taught),Full-time,Domicile,Non-European Union,710 
University of South Wales,Postgraduate (taught),Full-time,Domicile,Other European Union,220 
