Start Date,Name,Area,City,Postcode,Number Of Lettings,Hmo TypesDescription,,,
2005/11/12,4 Banastre Avenue, Gabalfa, Cardiff, CF14 3NR,0,Shared House,,,
2009/3/17,Ty Jordan 375 Newport Road, Roath, Cardiff, CF24 1RN,6,Shared House,,,
2010/10/20,44 Oakfield Street, Roath, Cardiff, CF24 3RE,0,Flats Section 257,,,
2010/10/29,12 Morlais Street, Roath, Cardiff, CF23 5HQ,6,Shared House,,,
2010/11/19,14 Ninian Road, Roath, Cardiff, CF23 5EE,6,Shared House,,,
2010/12/3,9 Dalton Street, Cathays, Cardiff, CF24 4HB,12,Shared House,,,
2010/12/3,116 Malefant Street, Cathays, Cardiff, CF24 4QF,5,Shared House,,,
2010/12/3,203 Newport Road, Roath, Cardiff, CF24 1AJ,7,Shared House,,,
2010/12/17,29 Strathnairn Street, Roath, Cardiff, CF24 3JL,5,Shared House,,,41
2011/2/7,5 Lisvane Street, Cathays, Cardiff, CF24 4LH,5,Shared House,,,
2011/2/7,24 Alexander Street, Cathays, Cardiff, CF24 4NT,5,Shared House,,,
2011/2/7,20 Florentia Street, Cathays, Cardiff, CF24 4PE,3,Shared House,,,
2011/2/7,49 Clun Terrace, Cathays, Cardiff, CF24 4RB,6,Shared House,,,
2011/2/7,163 King\'s Road, Pontcanna, Cardiff, CF11 9DE,6,Shared House,,,
2011/2/15,74 Cathays Terrace, Cathays, Cardiff, CF24 4HY,4,Shared House,,,
2011/2/15,78 Brithdir Street, Cathays, Cardiff, CF24 4LF,4,Shared House,,,627
2011/2/15,65 Lisvane Street, Cathays, Cardiff, CF24 4LJ,4,Shared House,,,
2011/2/28,46 Harriet Street, Cathays, Cardiff, CF24 4BW,6,Shared House,,,
2011/3/15,5 Senghenydd Place, Cathays, Cardiff, CF24 4AF,5,Shared House,,,
2011/3/15,3 Llantwit Street, Cathays, Cardiff, CF24 4AJ,4,Shared House,,,
2011/3/15,42 Richards Street, Cathays, Cardiff, CF24 4DB,4,Shared House,,,
2011/3/15,3 Brydges Place, Cathays, Cardiff, CF24 4DP,6,Shared House,,,
2011/3/15,16 Brithdir Street, Cathays, Cardiff, CF24 4LG,4,Shared House,,,
2011/3/15,130 Malefant Street, Cathays, Cardiff, CF24 4QF,6,Shared House,,,
2011/3/15,59 Tewkesbury Street, Cathays, Cardiff, CF24 4QR,6,Shared House,,,
2011/3/15,7 Clun Terrace, Cathays, Cardiff, CF24 4RB,6,Shared House,,,
2011/3/15,5 Parkfield Place, Mynachdy, Cardiff, CF14 3AR,5,Shared House,,,
2011/4/21,20 Llandough Street, Cathays, Cardiff, CF24 4AW,4,Shared House,,,
2011/4/21,5 Mundy Place, Cathays, Cardiff, CF24 4BZ,5,Shared House,,,
2011/4/21,16 Richards Street, Cathays, Cardiff, CF24 4DA,9,Shared House,,,
2011/4/21,84 Richards Street, Cathays, Cardiff, CF24 4DD,5,Shared House,,,
2011/4/21,99 Dogfield Street, Cathays, Cardiff, CF24 4QN,3,Shared House,,,
2011/5/10,22 Malefant Street, Cathays, Cardiff, CF24 4QB,5,Shared House,,,
2011/6/1,74 Minny Street, Cathays, Cardiff, CF24 4ET,4,Shared House,,,
2011/6/22,68 Harriet Street, Cathays, Cardiff, CF24 4BW,4,Shared House,,,
2011/6/22,70 Harriet Street, Cathays, Cardiff, CF24 4BW,3,Shared House,,,
2011/6/22,77 Brithdir Street, Cathays, Cardiff, CF24 4LF,3,Shared House,,,
2011/6/22,166 Woodville Road, Cathays, Cardiff, CF24 4NW,3,Shared House,,,
2011/6/22,4 Hazeldene Avenue, Cathays, Cardiff, CF24 4QP,3,Shared House,,,
2011/7/12,17 Llantwit Street, Cathays, Cardiff, CF24 4AJ,4,Shared House,,,
2011/7/12,60 Minny Street, Cathays, Cardiff, CF24 4ET,5,Shared House,,,
2011/7/12,13 Llantrisant Street, Cathays, Cardiff, CF24 4JB,4,Shared House,,,
2011/7/12,30 Hirwain Street, Cathays, Cardiff, CF24 4JH,5,Shared House,,,
2011/7/12,14 Brithdir Street, Cathays, Cardiff, CF24 4LG,5,Shared House,,,
2011/7/12,8 Malefant Street, Cathays, Cardiff, CF24 4QB,6,Shared House,,,
2011/7/12,50 Tewkesbury Street, Cathays, Cardiff, CF24 4QT,3,Shared House,,,
2011/7/12,40 Bedford Street, Roath, Cardiff, CF24 3DA,8,Shared House,,,
2011/7/20,17 Darran Street, Cathays, Cardiff, CF24 4JF,4,Shared House,,,
2011/7/21,9 Fanny Street, Cathays, Cardiff, CF24 4EG,5,Shared House,,,
2011/7/21,12 Gelligaer Street, Cathays, Cardiff, CF24 4LA,3,Shared House,,,
2011/7/25,30 Monthermer Road, Cathays, Cardiff, CF24 4RA,6,Shared House,,,
2011/7/26,37 Salisbury Road, Cathays, Cardiff, CF24 4AA,8,Bedsits,,,
2011/8/10,1 Brydges Place, Cathays, Cardiff, CF24 4DP,4,Shared House,,,
2011/8/10,72 May Street, Cathays, Cardiff, CF24 4EY,4,Shared House,,,
2011/8/10,30 Dogfield Street, Cathays, Cardiff, CF24 4QJ,4,Shared House,,,
2011/8/10,82 Dogfield Street, Cathays, Cardiff, CF24 4QZ,4,Shared House,,,
2011/8/11,7 Senghenydd Place, Cathays, Cardiff, CF24 4AF,6,Shared House,,,
2011/8/12,26 Dogfield Street, Cathays, Cardiff, CF24 4QJ,4,Shared House,,,
2011/8/15,21 Flora Street, Cathays, Cardiff, CF24 4EP,5,Shared House,,,
2011/8/15,52 Gelligaer Street, Cathays, Cardiff, CF24 4LA,4,Shared House,,,
2011/8/26,18 Rhymney Street, Cathays, Cardiff, CF24 4DF,4,Shared House,,,
2011/8/31,28 Minny Street, Cathays, Cardiff, CF24 4ES,4,Shared House,,,
2011/9/1,14 Penarth Road, Butetown, Cardiff, CF10 5DN,5,Shared House,,,
2011/9/1,37 Minny Street, Cathays, Cardiff, CF24 4ES,8,Shared House,,,
2011/9/1,17 Malefant Street, Cathays, Cardiff, CF24 4QB,4,Shared House,,,
2011/9/2,78 Tewkesbury Street, Cathays, Cardiff, CF24 4QT,3,Shared House,,,
2011/9/13,69 Tewkesbury Street, Cathays, Cardiff, CF24 4QR,4,Shared House,,,
2011/9/15,40 Brithdir Street, Cathays, Cardiff, CF24 4LG,4,Shared House,,,
2011/9/15,66 Monthermer Road, Cathays, Cardiff, CF24 4QY,7,Shared House,,,
2011/9/28,16 Llanbleddian Gardens, Cathays, Cardiff, CF24 4AT,9,Flats Section 257,,,
2011/9/29,12 Lisvane Street, Cathays, Cardiff, CF24 4LL,4,Shared House,,,
2011/9/30,79 Wyeverne Road, Cathays, Cardiff, CF24 4BG,5,Shared House,,,
2011/9/30,8 Gelligaer Street, Cathays, Cardiff, CF24 4LA,4,Shared House,,,
2011/9/30,18 Tewkesbury Street, Cathays, Cardiff, CF24 4QQ,7,Shared House,,,
2011/9/30,134 Tewkesbury Street, Cathays, Cardiff, CF24 4QS,5,Shared House,,,
2011/10/4,1 Robert Street, Cathays, Cardiff, CF24 4PB,3,Shared House,,,
2011/10/10,131 Rhymney Street, Cathays, Cardiff, CF24 4DL,4,Shared House,,,
2011/10/17,68 Coburn Street, Cathays, Cardiff, CF24 4BS,8,Shared House,,,
2011/10/20,41 Rhymney Street, Cathays, Cardiff, CF24 4DH,5,Shared House,,,
2011/10/21,73 Coburn Street, Cathays, Cardiff, CF24 4BR,7,Shared House,,,
2011/10/26,39 Merthyr Street, Cathays, Cardiff, CF24 4JL,5,Shared House,,,
2011/10/26,3 Lisvane Street, Cathays, Cardiff, CF24 4LH,4,Shared House,,,
2011/11/1,4 Richards Street, Cathays, Cardiff, CF24 4DA,5,Shared House,,,
2011/11/2,83 Colum Road, Cathays, Cardiff, CF10 3EF,7,Shared House,,,
2011/11/3,158a Miskin Street, Cathays, Cardiff, CF24 4AS,3,Flats Section 257,,,
2011/11/3,60 Llantrisant Street, Cathays, Cardiff, CF24 4JE,7,Shared House,,,
2011/11/3,15 Clun Terrace, Cathays, Cardiff, CF24 4RB,5,Shared House,,,
2011/11/4,39 Coburn Street, Cathays, Cardiff, CF24 4BQ,4,Shared House,,,
2011/11/4,25 May Street, Cathays, Cardiff, CF24 4EX,4,Shared House,,,
2011/11/9,48 Flora Street, Cathays, Cardiff, CF24 4EQ,4,Shared House,,,
2011/11/9,19 Brithdir Street, Cathays, Cardiff, CF24 4LE,4,Shared House,,,
2011/11/15,6 Brithdir Street, Cathays, Cardiff, CF24 4LG,4,Shared House,,,
2011/11/16,18 Tewkesbury Place, Cathays, Cardiff, CF24 4QU,4,Shared House,,,
2011/11/17,24 Richards Street, Cathays, Cardiff, CF24 4DA,3,Shared House,,,
2011/11/17,96 Richards Street, Cathays, Cardiff, CF24 4DD,4,Shared House,,,
2011/11/17,2 Minister Street, Cathays, Cardiff, CF24 4HR,5,Shared House,,,
2011/11/17,76 Monthermer Road, Cathays, Cardiff, CF24 4QY,5,Shared House,,,
2011/11/18,34 Dogfield Street, Cathays, Cardiff, CF24 4QJ,5,Shared House,,,
