Start Date,Name,Area,City,Postcode,Number Of Lettings,Hmo TypesDescription
2016/6/29,77 Rhymney Street, Cathays, Cardiff, CF24 4DH,5,Shared House
2016/6/29,68 Minny Street, Cathays, Cardiff, CF24 4ET,4,Shared House
2016/6/29,73 Angus Street, Roath, Cardiff, CF24 3LX,4,Shared House
2016/7/6,70 North Road, Cathays, Cardiff, CF10 3DZ,5,Shared House
2016/7/6,46 Richards Street, Cathays, Cardiff, CF24 4DB,4,Shared House
2016/7/6,87 Monthermer Road, Cathays, Cardiff, CF24 4QY,6,Shared House
2016/7/6,36 Angus Street, Roath, Cardiff, CF24 3LY,8,Shared House
2016/7/6,25 Mackintosh Place, Roath, Cardiff, CF24 4RJ,5,Shared House
2016/7/7,42 Colum Road, Cathays, Cardiff, CF10 3EH,5,Shared House
2016/7/7,44 Treherbert Street, Cathays, Cardiff, CF24 4JN,6,Shared House
2016/7/7,134 Treharris Street, Roath, Cardiff, CF24 3HP,5,Shared House
2016/7/7,133 Claude Road, Roath, Cardiff, CF24 3QE,6,Shared House
2016/7/7,161 Mackintosh Place, Roath, Cardiff, CF24 4RP,,Shared House
2016/7/7,205 Mackintosh Place, Roath, Cardiff, CF24 4RP,6,Shared House
2016/7/8,108 Coburn Street, Cathays, Cardiff, CF24 4BT,4,Shared House
2016/7/8,8 Robert Street, Cathays, Cardiff, CF24 4PB,7,Shared House
2016/7/18,7 Cyfarthfa Street, Roath, Cardiff, CF24 3HE,4,Shared House
2016/7/19,5 Claude Road, Roath, Cardiff, CF24 3PZ,6,Flats Section 257
2016/7/19,17 Mackintosh Place, Roath, Cardiff, CF24 4RJ,4,Shared House
2016/7/19,116 Mackintosh Place, Roath, Cardiff, CF24 4RR,5,Shared House
2016/7/19,44 Alfred Street, Roath, Cardiff, CF24 4TZ,5,Shared House
2016/7/20,57 Cranbrook Street, Cathays, Cardiff, CF24 4AL,0,Shared House
2016/7/20,14 Ruthin Gardens, Cathays, Cardiff, CF24 4AU,3,Shared House
2016/7/20,32 Wyeverne Road, Cathays, Cardiff, CF24 4BH,1,Shared House
2016/7/20,90 Harriet Street, Cathays, Cardiff, CF24 4BX,3,Shared House
2016/7/20,54 Woodville Road, Cathays, Cardiff, CF24 4EB,7,Shared House
2016/7/20,93 Lisvane Street, Cathays, Cardiff, CF24 4LJ,0,Shared House
2016/7/20,3 Norman Street, Cathays, Cardiff, CF24 4NU,3,Shared House
2016/7/20,6 Clare Gardens, Riverside, Cardiff, CF11 6EN,4,Flats Section 257
2016/7/20,32 Gordon Road, Roath, Cardiff, CF24 3AL,,Flats Section 257
2016/7/20,138 Treharris Street, Roath, Cardiff, CF24 3HQ,1,Shared House
2016/7/20,15 Angus Street, Roath, Cardiff, CF24 3LW,,Shared House
2016/7/20,52 Connaught Road, Roath, Cardiff, CF24 3PW,1,Shared House
2016/7/20,60 Claude Road, Roath, Cardiff, CF24 3QB,5,Flats Section 257
2016/7/20,42 Arabella Street, Roath, Cardiff, CF24 4TA,4,Shared House
2016/7/20,25 Alfred Street, Roath, Cardiff, CF24 4TY,7,Flats Section 257
2016/7/21,27 Harriet Street, Cathays, Cardiff, CF24 4BU,8,Shared House
2016/7/21,47 Merthyr Street, Cathays, Cardiff, CF24 4JL,5,Shared House
2016/7/21,30 Gelligaer Street, Cathays, Cardiff, CF24 4LA,6,Shared House
2016/7/21,73 Keppoch Street, Roath, Cardiff, CF24 3JT,6,Shared House
2016/7/21,10 Lochaber Street, Roath, Cardiff, CF24 3LS,5,Flats Section 257
2016/7/21,47 Angus Street, Roath, Cardiff, CF24 3LX,3,Shared House
2016/7/21,6 Mackintosh Place, Roath, Cardiff, CF24 4RQ,4,Shared House
2016/7/21,206 Mackintosh Place, Roath, Cardiff, CF24 4RT,4,Shared House
2016/7/21,209 Arabella Street, Roath, Cardiff, CF24 4SZ,5,Shared House
2016/7/21,48 Diana Street, Roath, Cardiff, CF24 4TW,6,Shared House
2016/7/29,78 Harriet Street, Cathays, Cardiff, CF24 4BW,8,Shared House
2016/8/1,115 Harriet Street, Cathays, Cardiff, CF24 4BX,5,Shared House
2016/8/1,161 Woodville Road, Cathays, Cardiff, CF24 4NW,4,Shared House
2016/8/1,Flat 5 23 Richmond Road, Roath, Cardiff, CF24 3AQ,3,Flat in Multiple Occupation
2016/8/1,27 Bedford Street, Roath, Cardiff, CF24 3BZ,4,Shared House
2016/8/1,6 Russell Court, Roath, Cardiff, CF24 3EG,4,Flat in Multiple Occupation
2016/8/1,37 Talworth Street, Roath, Cardiff, CF24 3EJ,4,Shared House
2016/8/1,35 Donald Street, Roath, Cardiff, CF24 4TJ,3,Shared House
2016/8/4,19 Colum Road, Cathays, Cardiff, CF10 3EE,4,Flats Section 257
2016/8/4,54 Richards Street, Cathays, Cardiff, CF24 4DB,7,Shared House
2016/8/4,29 Llantrisant Street, Cathays, Cardiff, CF24 4JD,6,Shared House
2016/8/4,74 Llantrisant Street, Cathays, Cardiff, CF24 4JE,5,Shared House
2016/8/4,72 Lisvane Street, Cathays, Cardiff, CF24 4LN,4,Shared House
2016/8/5,19 Flora Street, Cathays, Cardiff, CF24 4EP,1,Shared House
2016/8/5,6 Treherbert Street, Cathays, Cardiff, CF24 4JN,4,Shared House
2016/8/11,141 Mackintosh Place, Roath, Cardiff, CF24 4RN,6,Shared House
2016/8/16,18 Glynrhondda Street, Cathays, Cardiff, CF24 4AN,5,Shared House
2016/8/16,64 Thesiger Street, Cathays, Cardiff, CF24 4BP,,Shared House
2016/8/16,79 Woodville Road, Cathays, Cardiff, CF24 4DX,7,Shared House
2016/8/16,128 Malefant Street, Cathays, Cardiff, CF24 4QF,5,Shared House
2016/8/16,218 Mackintosh Place, Roath, Cardiff, CF24 4RT,5,Shared House
2016/8/18,173 Malefant Street, Cathays, Cardiff, CF24 4QG,5,Shared House
2016/8/18,65 Keppoch Street, Roath, Cardiff, CF24 3JT,4,Shared House
2016/8/19,64 Malefant Street, Cathays, Cardiff, CF24 4QH,4,Shared House
2016/8/22,1a Catherine Street, Cathays, Cardiff, CF24 4EF,4,Shared House
2016/8/22,34 Letty Street, Cathays, Cardiff, CF24 4EL,5,Shared House
2016/8/22,32 Flora Street, Cathays, Cardiff, CF24 4EQ,6,Shared House
2016/8/22,4 Gladys Street, Cathays, Cardiff, CF24 4HA,4,Shared House
2016/8/22,95 Cathays Terrace, Cathays, Cardiff, CF24 4HT,5,Shared House
2016/8/22,1 Lucas Street, Cathays, Cardiff, CF24 4NZ,4,Shared House
2016/8/22,84 Monthermer Road, Cathays, Cardiff, CF24 4QY,6,Shared House
2016/8/22,50 Diana Street, Roath, Cardiff, CF24 4TW,4,Shared House
2016/8/23,6 Wyeverne Road, Cathays, Cardiff, CF24 4BH,6,Shared House
2016/8/23,22 May Street, Cathays, Cardiff, CF24 4EW,3,Shared House
2016/8/23,81 May Street, Cathays, Cardiff, CF24 4EY,6,Shared House
2016/8/23,69 Woodville Road, Cathays, Cardiff, CF24 4FX,9,Shared House
2016/8/23,79 Shirley Road, Roath, Cardiff, CF23 5HL,7,Shared House
2016/8/23,116 Cottrell Road, Roath, Cardiff, CF24 3EX,8,Shared House
2016/8/23,1 Keppoch Street, Roath, Cardiff, CF24 3JS,3,Shared House
2016/8/23,9 Alfred Street, Roath, Cardiff, CF24 4TY,4,Shared House
2016/8/24,95 Rhymney Street, Cathays, Cardiff, CF24 4DH,6,Shared House
2016/8/24,34 Flora Street, Cathays, Cardiff, CF24 4EQ,6,Shared House
2016/8/24,122 Cathays Terrace, Cathays, Cardiff, CF24 4HY,5,Shared House
2016/8/24,122 Cottrell Road, Roath, Cardiff, CF24 3EX,4,Shared House
2016/8/25,34 Mackintosh Place, Roath, Cardiff, CF24 4RQ,5,Shared House
2016/8/25,22 Alfred Street, Roath, Cardiff, CF24 4TY,6,Flats Section 257
2016/8/30,7 Dogfield Street, Cathays, Cardiff, CF24 4QJ,6,Shared House
2016/8/31,3 Colum Place, Cathays, Cardiff, CF10 3EP,4,Shared House
2016/8/31,109 Rhymney Street, Cathays, Cardiff, CF24 4DH,,Shared House
2016/8/31,10 Darran Street, Cathays, Cardiff, CF24 4JF,4,Shared House
2016/8/31,90 Gelligaer Street, Cathays, Cardiff, CF24 4LB,5,Shared House
2016/8/31,33 Lisvane Street, Cathays, Cardiff, CF24 4LH,7,Shared House
2016/8/31,9 Daniel Street, Cathays, Cardiff, CF24 4NX,5,Shared House
2016/8/31,48 Daniel Street, Cathays, Cardiff, CF24 4NY,4,Shared House
2016/8/31,40 Florentia Street, Cathays, Cardiff, CF24 4PE,4,Shared House
2016/8/31,61 Dogfield Street, Cathays, Cardiff, CF24 4QL,0,Shared House
2016/8/31,71 Dogfield Street, Cathays, Cardiff, CF24 4QL,4,Shared House
2016/8/31,42 Russell Street, Roath, Cardiff, CF24 3BG,5,Shared House
2016/8/31,18 Cyfarthfa Street, Roath, Cardiff, CF24 3HE,4,Shared House
2016/8/31,21 Keppoch Street, Roath, Cardiff, CF24 3JS,4,Shared House
